DSLHUAG007,145615,2014-07-01,NULL
DSLHUAG024,145615,2014-07-01,NULL
DSLHUAG016,145615,2014-07-01,NULL
DSLHUAG030,145615,2014-07-01,NULL
DSLHUAG017,145615,2014-07-01,NULL
DSLHUAG028,145615,2014-07-01,NULL
DSLHUAG031,145615,2014-07-01,NULL
DSLHUAG025,145615,2014-07-02,NULL
DSLHUAG015,145615,2014-07-02,NULL
DSLHUAG020,145615,2014-07-02,NULL
DSLHUAG026,145615,2014-07-02,NULL
DSLHUAG038,145615,2014-07-02,NULL
DSLHUAG029,145615,2014-07-02,NULL
DSLHUAG022,145615,2014-07-02,NULL
DSLHUAG034,145615,2014-07-03,NULL
DSLHUAG036,145615,2014-07-03,NULL
DSLHUAG043,145615,2014-07-03,NULL
DSLHUAG027,145615,2014-07-03,NULL
DSLHUAG032,145615,2014-07-03,NULL
DSLHUAG035,145615,2014-07-03,NULL
DSLHUAG012,145615,2014-07-03,NULL
DSLHUAG011,145615,2014-07-04,NULL
DSLHUAG033,145615,2014-07-04,NULL
DSLHUAG010,145615,2014-07-04,NULL
DSLHUAG019,145615,2014-07-04,NULL
DSLHUAG048,145615,2014-07-04,NULL
DSLHUAG045,145615,2014-07-04,NULL
DSLHUAG046,145615,2014-07-04,NULL
DSLHUAG047,145615,2014-07-07,NULL
DSLHUAG014,145615,2014-07-07,NULL
DSLHUAG009,145615,2014-07-07,NULL
DSLHUAG049,145615,2014-07-07,NULL
DSLHUAG050,145615,2014-07-07,NULL
DSLHUAG051,145615,2014-07-07,NULL
,145615,2014-07-07,NULL
DSLHUAG044,145615,2014-07-08,NULL
DSLHUAG052,145615,2014-07-08,NULL
DSLHUAG037,145615,2014-07-08,NULL
DSLHUAG053,145615,2014-07-08,NULL
GNTUTAG044,145615,2014-07-03,NULL
GNTHUAG004,145615,2014-07-03,NULL
GNTHUAG003,145615,2014-07-03,NULL
GNTHUAG002,145615,2014-07-04,NULL
MYGUTAG018,145615,2014-07-04,NULL
MYGUTAG020,145615,2014-07-04,NULL
MYGUTAG021,145615,2014-07-04,NULL
MYGUTAG022,145615,2014-07-04,NULL
MYGUTAG023,145615,2014-07-04,NULL
MYGUTAG024,145615,2014-07-04,NULL
MYGUTAG025,145615,2014-07-07,NULL
