DSLHUAG007,3-Feb,,1-Apr,,1-Jul,,1-Oct,,
DSLHUAG024,3-Feb,,1-Apr,,1-Jul,,1-Oct,,
DSLHUAG016,3-Feb,,1-Apr,,1-Jul,,1-Oct,,
DSLHUAG030,3-Feb,,1-Apr,,1-Jul,,1-Oct,,
DSLHUAG017,3-Feb,,1-Apr,,1-Jul,,1-Oct,,
DSLHUAG028,3-Feb,,1-Apr,,1-Jul,,1-Oct,,
DSLHUAG031,3-Feb,,1-Apr,,1-Jul,,1-Oct,,
DSLHUAG025,3-Feb,,2-Apr,,2-Jul,,2-Oct,,
DSLHUAG015,3-Feb,,2-Apr,,2-Jul,,2-Oct,,
DSLHUAG020,3-Feb,,2-Apr,,2-Jul,,2-Oct,,
DSLHUAG026,4-Feb,,2-Apr,,2-Jul,,2-Oct,,
DSLHUAG038,4-Feb,,2-Apr,,2-Jul,,2-Oct,,
DSLHUAG029,4-Feb,,2-Apr,,2-Jul,,2-Oct,,
DSLHUAG022,4-Feb,,2-Apr,,2-Jul,,2-Oct,,
DSLHUAG034,4-Feb,,3-Apr,,3-Jul,,3-Oct,,
DSLHUAG036,4-Feb,,3-Apr,,3-Jul,,3-Oct,,
DSLHUAG043,4-Feb,,3-Apr,,3-Jul,,3-Oct,,
DSLHUAG027,4-Feb,,3-Apr,,3-Jul,,3-Oct,,
DSLHUAG032,4-Feb,,3-Apr,,3-Jul,,3-Oct,,
DSLHUAG035,4-Feb,,3-Apr,,3-Jul,,3-Oct,,
DSLHUAG012,5-Feb,,3-Apr,,3-Jul,,3-Oct,,
DSLHUAG011,5-Feb,,4-Apr,,4-Jul,,6-Oct,,
DSLHUAG033,5-Feb,,4-Apr,,4-Jul,,6-Oct,,
DSLHUAG010,5-Feb,,4-Apr,,4-Jul,,6-Oct,,
DSLHUAG019,5-Feb,,4-Apr,,4-Jul,,6-Oct,,
DSLHUAG048,5-Feb,,4-Apr,,4-Jul,,6-Oct,,
DSLHUAG045,5-Feb,,4-Apr,,4-Jul,,6-Oct,,
DSLHUAG046,5-Feb,,4-Apr,,4-Jul,,6-Oct,,
DSLHUAG047,5-Feb,,7-Apr,,7-Jul,,7-Oct,,
DSLHUAG014,5-Feb,,7-Apr,,7-Jul,,7-Oct,,
DSLHUAG009,6-Feb,,7-Apr,,7-Jul,,7-Oct,,
DSLHUAG049,6-Feb,,7-Apr,,7-Jul,,7-Oct,,
DSLHUAG050,6-Feb,,7-Apr,,7-Jul,,7-Oct,,
DSLHUAG051,6-Feb,,7-Apr,,7-Jul,,7-Oct,,
,6-Feb,,7-Apr,,7-Jul,,7-Oct,,
DSLHUAG044,6-Feb,,8-Apr,,8-Jul,,8-Oct,,
DSLHUAG052,6-Feb,,8-Apr,,8-Jul,,8-Oct,,
DSLHUAG037,6-Feb,,8-Apr,,8-Jul,,8-Oct,,
DSLHUAG053,6-Feb,,8-Apr,,8-Jul,,8-Oct,,
GNTUTAG044,6-Feb,,8-Apr,,3-Jul,,8-Oct,,
GNTHUAG004,7-Feb,,8-Apr,,3-Jul,,8-Oct,,
GNTHUAG003,7-Feb,,8-Apr,,3-Jul,,8-Oct,,
GNTHUAG002,7-Feb,,9-Apr,,4-Jul,,9-Oct,,
MYGUTAG018,7-Feb,,9-Apr,,4-Jul,,9-Oct,,
MYGUTAG020,7-Feb,,9-Apr,,4-Jul,,9-Oct,,
MYGUTAG021,7-Feb,,9-Apr,,4-Jul,,9-Oct,,
MYGUTAG022,7-Feb,,9-Apr,,4-Jul,,9-Oct,,
MYGUTAG023,7-Feb,,9-Apr,,4-Jul,,9-Oct,,
MYGUTAG024,7-Feb,,9-Apr,,4-Jul,,9-Oct,,
MYGUTAG025,7-Feb,,10-Apr,,7-Jul,,10-Oct,,
MYGUTAG026,10-Feb,,10-Apr,,7-Jul,,10-Oct,,
MYGUTAG033,10-Feb,,10-Apr,,7-Jul,,10-Oct,,
MYGUTAG034,10-Feb,,10-Apr,,7-Jul,,10-Oct,,
MYGUTAG035,10-Feb,,10-Apr,,7-Jul,,10-Oct,,
MYGUTAG036,10-Feb,,10-Apr,,7-Jul,,10-Oct,,
MYGUTAG037,10-Feb,,10-Apr,,7-Jul,,10-Oct,,
MYGUTAG039,10-Feb,,11-Apr,,8-Jul,,13-Oct,,
MYGUTAG044,10-Feb,,11-Apr,,8-Jul,,13-Oct,,
MYGUTAG045,10-Feb,,11-Apr,,8-Jul,,13-Oct,,
MYGUTAG046,10-Feb,,11-Apr,,8-Jul,,13-Oct,,
CBOUTAG004,11-Feb,,11-Apr,,8-Jul,,13-Oct,,
CBOUTAG005,11-Feb,,11-Apr,,8-Jul,,13-Oct,,
CBOUTAG063,11-Feb,,11-Apr,,8-Jul,,13-Oct,,
CBOUTAG066,11-Feb,,14-Apr,,9-Jul,,14-Oct,,
MYGHUAG011,11-Feb,,14-Apr,,9-Jul,,14-Oct,,
MYGHUAG033,11-Feb,,14-Apr,,9-Jul,,14-Oct,,
MYGHUAG019,11-Feb,,14-Apr,,9-Jul,,14-Oct,,
MYGHUAG018,11-Feb,,14-Apr,,9-Jul,,14-Oct,,
MYGHUAG013,11-Feb,,14-Apr,,9-Jul,,14-Oct,,
MYGHUAG023,11-Feb,,14-Apr,,9-Jul,,14-Oct,,
MYGHUAG028,12-Feb,,15-Apr,,10-Jul,,15-Oct,,
MYGHUAG021,12-Feb,,15-Apr,,10-Jul,,15-Oct,,
MYGHUAG046,12-Feb,,15-Apr,,10-Jul,,15-Oct,,
MYGHUAG027,12-Feb,,15-Apr,,10-Jul,,15-Oct,,
MYGHUAG048,12-Feb,,15-Apr,,10-Jul,,15-Oct,,
MYGHUAG050,12-Feb,,15-Apr,,10-Jul,,15-Oct,,
MYGHUAG045,12-Feb,,15-Apr,,10-Jul,,15-Oct,,
MYGHUAG017,12-Feb,,16-Apr,,11-Jul,,16-Oct,,
MYGHUAG043,12-Feb,,16-Apr,,11-Jul,,16-Oct,,
MYGHUAG040,12-Feb,,16-Apr,,11-Jul,,16-Oct,,
MYGHUAG037,13-Feb,,16-Apr,,11-Jul,,16-Oct,,
MYGHUAG032,13-Feb,,16-Apr,,11-Jul,,16-Oct,,
MYGHUAG049,13-Feb,,16-Apr,,11-Jul,,16-Oct,,
MYGHUAG036,13-Feb,,16-Apr,,11-Jul,,16-Oct,,
MYGHUAG010,13-Feb,,17-Apr,,14-Jul,,17-Oct,,
MYGHUAG015,13-Feb,,17-Apr,,14-Jul,,17-Oct,,
MYGHUAG031,13-Feb,,17-Apr,,14-Jul,,17-Oct,,
MYGHUAG051,13-Feb,,17-Apr,,14-Jul,,17-Oct,,
MYGHUAG035,13-Feb,,17-Apr,,14-Jul,,17-Oct,,
MYGHUAG012,13-Feb,,17-Apr,,14-Jul,,17-Oct,,
MYGHUAG024,14-Feb,,17-Apr,,14-Jul,,17-Oct,,
MYGHUAG059,14-Feb,,18-Apr,,15-Jul,,20-Oct,,
MYGHUAG060,14-Feb,,18-Apr,,15-Jul,,20-Oct,,
MYGHUAG057,14-Feb,,18-Apr,,15-Jul,,20-Oct,,
MYGHUAG058,14-Feb,,18-Apr,,15-Jul,,20-Oct,,
MYGHUAG063,14-Feb,,18-Apr,,15-Jul,,20-Oct,,
MYGHUAG065,14-Feb,,18-Apr,,15-Jul,,20-Oct,,
MYGHUAG061,14-Feb,,18-Apr,,15-Jul,,20-Oct,,
MYGHUAG062,14-Feb,,21-Apr,,16-Jul,,21-Oct,,
PSGHUAG006,14-Feb,,21-Apr,,16-Jul,,21-Oct,,
PSGHUAG013,17-Feb,,21-Apr,,16-Jul,,21-Oct,,
PSGHUAG014,17-Feb,,21-Apr,,16-Jul,,21-Oct,,
PSGHUAG019-IPM,17-Feb,,21-Apr,,16-Jul,,21-Oct,,
PSGHUAG017,17-Feb,,21-Apr,,16-Jul,,21-Oct,,
PSGHUAG016,17-Feb,,21-Apr,,16-Jul,,21-Oct,,
PSGHUAG018-IPM,17-Feb,,22-Apr,,17-Jul,,22-Oct,,
PSGHUAG024-IPM,17-Feb,,22-Apr,,17-Jul,,22-Oct,,
PSGHUAG032-IPM,17-Feb,,22-Apr,,17-Jul,,22-Oct,,
PSGHUAG037,17-Feb,,22-Apr,,17-Jul,,22-Oct,,
PSGHUAG038,17-Feb,,22-Apr,,17-Jul,,22-Oct,,
PSGHUAG027,18-Feb,,22-Apr,,17-Jul,,22-Oct,,
PSGHUAG030,18-Feb,,22-Apr,,17-Jul,,22-Oct,,
PSGHUAG031,18-Feb,,23-Apr,,18-Jul,,23-Oct,,
PSGHUAG039,18-Feb,,23-Apr,,18-Jul,,23-Oct,,
PSGUTAG005,18-Feb,,23-Apr,,18-Jul,,23-Oct,,
PSGUTAG006,18-Feb,,23-Apr,,18-Jul,,23-Oct,,
PSGUTAG007,18-Feb,,23-Apr,,18-Jul,,23-Oct,,
PSGUTAG008,18-Feb,,23-Apr,,18-Jul,,23-Oct,,
PSGUTAG009,18-Feb,,23-Apr,,18-Jul,,23-Oct,,
PSGUTAG015,18-Feb,,24-Apr,,21-Jul,,24-Oct,,
PSGUTAG016,19-Feb,,24-Apr,,21-Jul,,24-Oct,,
PSGUTAG017,19-Feb,,24-Apr,,21-Jul,,24-Oct,,
PSGUTAG038,19-Feb,,24-Apr,,21-Jul,,24-Oct,,
PSGUTAG039,19-Feb,,24-Apr,,21-Jul,,24-Oct,,
PSGUTAG040,19-Feb,,24-Apr,,21-Jul,,24-Oct,,
PSGUTAG041,19-Feb,,24-Apr,,21-Jul,,24-Oct,,
PSGUTAG042,19-Feb,,25-Apr,,22-Jul,,27-Oct,,
PSGUTAG044,19-Feb,,25-Apr,,22-Jul,,27-Oct,,
PSGUTAG052,19-Feb,,25-Apr,,22-Jul,,27-Oct,,
PSGUTAG063,19-Feb,,25-Apr,,22-Jul,,27-Oct,,
MYGECIP001,20-Feb,,25-Apr,,22-Jul,,27-Oct,,
MYGECIP050,20-Feb,,25-Apr,,22-Jul,,27-Oct,,
MYGECIP045,20-Feb,,25-Apr,,22-Jul,,27-Oct,,
MYGECIP052,20-Feb,,28-Apr,,23-Jul,,28-Oct,,
MYGECIP054,20-Feb,,28-Apr,,23-Jul,,28-Oct,,
R01.10@DSN067.DSLM01,20-Feb,,28-Apr,,23-Jul,,28-Oct,,
MYGECIP043,20-Feb,,28-Apr,,23-Jul,,28-Oct,,
MYGECIP051,20-Feb,,28-Apr,,23-Jul,,28-Oct,,
MYGECIP044,20-Feb,,28-Apr,,23-Jul,,28-Oct,,
R01.06@DSN163/B.DSLM01,20-Feb,,28-Apr,,23-Jul,,28-Oct,,
MYGECIP046,21-Feb,,29-Apr,,24-Jul,,29-Oct,,
MYGECIP053,21-Feb,,29-Apr,,24-Jul,,29-Oct,,
