DSLHUAG007,145580,2014-04-01,NULL
DSLHUAG024,145580,2014-04-01,NULL
DSLHUAG016,145580,2014-04-01,NULL
DSLHUAG030,145580,2014-04-01,NULL
DSLHUAG017,145580,2014-04-01,NULL
DSLHUAG028,145580,2014-04-01,NULL
DSLHUAG031,145580,2014-04-01,NULL
DSLHUAG025,145580,2014-04-02,NULL
DSLHUAG015,145580,2014-04-02,NULL
DSLHUAG020,145580,2014-04-02,NULL
DSLHUAG026,145580,2014-04-02,NULL
DSLHUAG038,145580,2014-04-02,NULL
DSLHUAG029,145580,2014-04-02,NULL
DSLHUAG022,145580,2014-04-02,NULL
DSLHUAG034,145580,2014-04-03,NULL
DSLHUAG036,145580,2014-04-03,NULL
DSLHUAG043,145580,2014-04-03,NULL
DSLHUAG027,145580,2014-04-03,NULL
DSLHUAG032,145580,2014-04-03,NULL
DSLHUAG035,145580,2014-04-03,NULL
DSLHUAG012,145580,2014-04-03,NULL
DSLHUAG011,145580,2014-04-04,NULL
DSLHUAG033,145580,2014-04-04,NULL
DSLHUAG010,145580,2014-04-04,NULL
DSLHUAG019,145580,2014-04-04,NULL
DSLHUAG048,145580,2014-04-04,NULL
DSLHUAG045,145580,2014-04-04,NULL
DSLHUAG046,145580,2014-04-04,NULL
DSLHUAG047,145580,2014-04-07,NULL
DSLHUAG014,145580,2014-04-07,NULL
DSLHUAG009,145580,2014-04-07,NULL
DSLHUAG049,145580,2014-04-07,NULL
DSLHUAG050,145580,2014-04-07,NULL
DSLHUAG051,145580,2014-04-07,NULL
,145580,2014-04-07,NULL
DSLHUAG044,145580,2014-04-08,NULL
DSLHUAG052,145580,2014-04-08,NULL
DSLHUAG037,145580,2014-04-08,NULL
DSLHUAG053,145580,2014-04-08,NULL
GNTUTAG044,145580,2014-04-08,NULL
GNTHUAG004,145580,2014-04-08,NULL
GNTHUAG003,145580,2014-04-08,NULL
GNTHUAG002,145580,2014-04-09,NULL
MYGUTAG018,145580,2014-04-09,NULL
MYGUTAG020,145580,2014-04-09,NULL
MYGUTAG021,145580,2014-04-09,NULL
MYGUTAG022,145580,2014-04-09,NULL
MYGUTAG023,145580,2014-04-09,NULL
MYGUTAG024,145580,2014-04-09,NULL
MYGUTAG025,145580,2014-04-10,NULL
MYGUTAG026,145580,2014-04-10,NULL
MYGUTAG033,145580,2014-04-10,NULL
MYGUTAG034,145580,2014-04-10,NULL
MYGUTAG035,145580,2014-04-10,NULL
MYGUTAG036,145580,2014-04-10,NULL
MYGUTAG037,145580,2014-04-10,NULL
MYGUTAG039,145580,2014-04-11,NULL
MYGUTAG044,145580,2014-04-11,NULL
MYGUTAG045,145580,2014-04-11,NULL
MYGUTAG046,145580,2014-04-11,NULL
CBOUTAG004,145580,2014-04-11,NULL
CBOUTAG005,145580,2014-04-11,NULL
